Pokedex Id,Name,Classification,Alternate Form Name,Group,Height,Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Male Ratio,Female Ratio,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,CatchRate,Experience Growth Rate,Experience Growth Points Total,Egg Group,Evolution Details,Original Name
1,Bulbasaur,Seed Pokémon,None,Starter,0.7,6.9,Grass,Poison,Overgrow,None,Chlorophyll,87.5,12.5,45,49,49,65,65,45,318,45,Medium Slow,1059860,Monster,No Evolution,Bulbasaur
2,Ivysaur,Seed Pokémon,None,Starter,1.0,13.0,Grass,Poison,Overgrow,None,Chlorophyll,87.5,12.5,60,62,63,80,80,60,405,45,Medium Slow,1059860,Monster,Level 16,Ivysaur
3,Venusaur,Seed Pokémon,None,Starter,2.0,100.0,Grass,Poison,Overgrow,None,Chlorophyll,87.5,12.5,80,82,83,100,100,80,525,45,Medium Slow,1059860,Monster,Level 32,Venusaur
3,Venusaur (Mega),Seed Pokémon,Mega,,2.4,155.5,Grass,Poison,Thick Fat,None,None,87.5,12.5,80,100,123,122,120,80,625,45,Medium Slow,1059860,Monster,No Evolution,Venusaur
4,Charmander,Lizard Pokémon,None,Starter,0.6,8.5,Fire,None,Blaze,None,Solar Power,87.5,12.5,39,52,43,60,50,65,309,45,Medium Slow,1059860,Monster,No Evolution,Charmander
5,Charmeleon,Flame Pokémon,None,Starter,1.1,19.0,Fire,None,Blaze,None,Solar Power,87.5,12.5,58,64,58,80,65,80,405,45,Medium Slow,1059860,Monster,Level 16,Charmeleon
6,Charizard,Flame Pokémon,None,Starter,1.7,90.5,Fire,Flying,Blaze,None,Solar Power,87.5,12.5,78,84,78,109,85,100,534,45,Medium Slow,1059860,Monster,Level 36,Charizard
6,Charizard (Mega X),Flame Pokémon,Mega,,1.7,110.5,Fire,Dragon,Tough Claws,None,None,87.5,12.5,78,130,111,130,85,100,634,45,Medium Slow,1059860,Monster,No Evolution,Charizard
6,Charizard (Mega Y),Flame Pokémon,Mega,,1.7,100.5,Fire,Flying,Drought,None,None,87.5,12.5,78,104,78,159,115,100,634,45,Medium Slow,1059860,Monster,No Evolution,Charizard
7,Squirtle,Tiny Turtle Pokémon,None,Starter,0.5,9.0,Water,None,Torrent,None,Rain Dish,87.5,12.5,44,48,65,50,64,43,314,45,Medium Slow,1059860,Monster,No Evolution,Squirtle
8,Wartortle,Turtle Pokémon,None,Starter,1.0,22.5,Water,None,Torrent,None,Rain Dish,87.5,12.5,59,63,80,65,80,58,405,45,Medium Slow,1059860,Monster,Level 16,Wartortle
9,Blastoise,Shellfish Pokémon,None,Starter,1.6,85.5,Water,None,Torrent,None,Rain Dish,87.5,12.5,79,83,100,85,105,78,530,45,Medium Slow,1059860,Monster,Level 36,Blastoise
9,Blastoise (Mega),Shellfish Pokémon,Mega,,1.6,101.1,Water,None,Mega Launcher,None,None,87.5,12.5,79,103,120,135,115,78,630,45,Medium Slow,1059860,Monster,No Evolution,Blastoise
10,Caterpie,Worm Pokémon,None,,0.3,2.9,Bug,None,Shield Dust,None,Run Away,50.0,50.0,45,30,35,20,20,45,195,255,Medium Fast,1000000,Bug,No Evolution,Caterpie
